[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.45328902 0.54996892]
[0.66908793 0.37204883]
[0.68712099 0.49440692]
[0.66908793 0.37204883]
[0.68712099 0.49440692]
[0.66908793 0.37204883]
[0.68712099 0.49440692]
[0.66908793 0.37204883]
[0.68712099 0.49440692]
[0.66908793 0.37204883]
[0.68712099 0.49440692]
[0.66908793 0.37204883]
[0.68712099 0.49440692]
[0.66908793 0.37204883]
[0.68712099 0.49440692]
[0.66908793 0.37204883]
[0.62214443 0.49781192]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.5239055  0.29364576]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.73857645 0.45247525]
[0.85046287 0.65722403]
[0.47248694 0.81315076]
[0.47248594 0.81315091]
[0.47248594 0.81315091]
[0.41075071 0.79221753]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.39742057 0.55814355]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.7454257  0.46062435]
[0.75200741 0.60349995]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.39742057 0.55814355]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.4766375  0.57541622]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.39742057 0.55814355]
[0.55201504 0.37987749]
[0.5239055  0.29364576]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.89160315 0.56549457]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.60448891 0.26393697]
[0.89160275 0.56549606]
[0.77499089 0.73509351]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.48683263 0.40746612]
[0.75093858 0.73887634]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.27367271 0.61324493]
[0.24748996 0.32195349]
[0.24766055 0.37678119]
[0.24748996 0.32195349]
[0.24766055 0.37678119]
[0.24748996 0.32195349]
[0.24766055 0.37678119]
[0.24748996 0.32195349]
[0.24766055 0.37678119]
[0.24965488 0.47532812]
[0.24965488 0.47532812]
[0.24965488 0.47532812]
[0.24965488 0.47532812]
[0.24965488 0.47532812]
[0.24965488 0.47532812]
[0.24965488 0.47532812]
[0.24965488 0.47532812]
[0.24611302 0.36915604]
[0.24611302 0.36915604]
[0.24611302 0.36915604]
[0.24611302 0.36915604]
[0.24611302 0.36915604]
[0.24611302 0.36915604]
[0.24611302 0.36915604]
[0.24611302 0.36915604]
[0.21862163 0.21175812]
[0.21862163 0.21175812]
[0.21862163 0.21175812]
[0.21862163 0.21175812]
[0.21862163 0.21175812]
[0.21862163 0.21175812]
[0.21862163 0.21175812]
[0.21862163 0.21175812]
[0.24379548 0.35154018]
[0.21880922 0.34687459]
[0.24379548 0.35154018]
[0.21880922 0.34687459]
[0.24379548 0.35154018]
